Algorithm,String Size,Iterations,Collisions,Collision Percentage (%)
md5,4,10000,0,0.0000000000
md5,4,100000,0,0.0000000000
md5,4,1000000,0,0.0000000000
md5,4,10000000,0,0.0000000000
md5,8,10000,0,0.0000000000
md5,8,100000,0,0.0000000000
md5,8,1000000,0,0.0000000000
md5,8,10000000,0,0.0000000000
md5,16,10000,0,0.0000000000
md5,16,100000,0,0.0000000000
md5,16,1000000,0,0.0000000000
md5,16,10000000,0,0.0000000000
md5,32,10000,0,0.0000000000
md5,32,100000,0,0.0000000000
md5,32,1000000,0,0.0000000000
md5,32,10000000,0,0.0000000000
sha1,4,10000,0,0.0000000000
sha1,4,100000,0,0.0000000000
sha1,4,1000000,0,0.0000000000
sha1,4,10000000,0,0.0000000000
sha1,8,10000,0,0.0000000000
sha1,8,100000,0,0.0000000000
sha1,8,1000000,0,0.0000000000
sha1,8,10000000,0,0.0000000000
sha1,16,10000,0,0.0000000000
sha1,16,100000,0,0.0000000000
sha1,16,1000000,0,0.0000000000
sha1,16,10000000,0,0.0000000000
sha1,32,10000,0,0.0000000000
sha1,32,100000,0,0.0000000000
sha1,32,1000000,0,0.0000000000
sha1,32,10000000,0,0.0000000000
sha256,4,10000,0,0.0000000000
sha256,4,100000,0,0.0000000000
sha256,4,1000000,0,0.0000000000
sha256,4,10000000,0,0.0000000000
sha256,8,10000,0,0.0000000000
sha256,8,100000,0,0.0000000000
sha256,8,1000000,0,0.0000000000
sha256,8,10000000,0,0.0000000000
sha256,16,10000,0,0.0000000000
sha256,16,100000,0,0.0000000000
sha256,16,1000000,0,0.0000000000
sha256,16,10000000,0,0.0000000000
sha256,32,10000,0,0.0000000000
sha256,32,100000,0,0.0000000000
sha256,32,1000000,0,0.0000000000
sha256,32,10000000,0,0.0000000000
blake2b,4,10000,0,0.0000000000
blake2b,4,100000,0,0.0000000000
blake2b,4,1000000,0,0.0000000000
blake2b,4,10000000,0,0.0000000000
blake2b,8,10000,0,0.0000000000
blake2b,8,100000,0,0.0000000000
blake2b,8,1000000,0,0.0000000000
blake2b,8,10000000,0,0.0000000000
blake2b,16,10000,0,0.0000000000
blake2b,16,100000,0,0.0000000000
blake2b,16,1000000,0,0.0000000000
blake2b,16,10000000,0,0.0000000000
blake2b,32,10000,0,0.0000000000
blake2b,32,100000,0,0.0000000000
blake2b,32,1000000,0,0.0000000000
blake2b,32,10000000,0,0.0000000000
