Algorithm,Data Size (MB),Iterations,CPU (%),Peak Memory (KB)
md5,1,10,2.7,967.7109375
md5,2,10,3.6,977.7109375
md5,4,10,5.6,997.7109375
md5,8,10,4.8,1037.7109375
md5,16,10,4.1,1117.7109375
md5,32,10,5.1,1277.7109375
sha1,1,10,5.9,967.7109375
sha1,2,10,4.3,977.7109375
sha1,4,10,4.7,997.7109375
sha1,8,10,6.4,1037.7109375
sha1,16,10,4.6,1117.7109375
sha1,32,10,6.3,1277.7109375
sha256,1,10,6.7,967.7109375
sha256,2,10,12.9,977.7109375
sha256,4,10,5.5,997.7109375
sha256,8,10,8.0,1037.7109375
sha256,16,10,4.7,1117.7109375
sha256,32,10,5.3,1277.7109375
blake2b,1,10,2.3,967.7109375
blake2b,2,10,7.0,977.7109375
blake2b,4,10,4.3,997.7109375
blake2b,8,10,2.7,1037.7109375
blake2b,16,10,3.7,1117.7109375
blake2b,32,10,3.0,1277.7109375
